類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	板橋大觀店	220 新北市板橋區大觀路三段236號1樓之14、1樓之15	新北市	板橋區	121.429275	24.992301
家樂福超市	板橋四維店	220 新北市板橋區四維路247、249、251、253號	新北市	板橋區	121.463533	25.027571
家樂福超市	板橋忠孝店	220 新北市板橋區忠孝路237號	新北市	板橋區	121.466101	25.002893
家樂福超市	板橋金門二店	220 新北市板橋區金門街153、155、159號	新北市	板橋區	121.432757	24.990458
家樂福超市	板橋金門店	220 新北市板橋區金門街357號	新北市	板橋區	121.42887	24.984852
家樂福超市	林口仁愛店	244 新北市林口區仁愛路二段89號	新北市	林口區	121.384512	25.075541
家樂福超市	林口公園店	244 新北市林口區公園路59號	新北市	林口區	121.36788	25.068892
家樂福超市	林口文化一店	244 新北市林口區文化三路一段319、321、323、325號	新北市	林口區	121.365871	25.073251
家樂福超市	林口文化三店	244 新北市林口區文化三路一段543號	新北市	林口區	121.369931	25.075708
家樂福超市	南屯黎明店	408 台中市南屯區黎明路二段423號	台中市	南屯區	120.63499	24.151907
家樂福超市	南港成福店	115 台北市南港區成福路183號	台北市	南港區	121.588615	25.040908
家樂福超市	南港東明店	115 台北市南港區東明街99號1樓	台北市	南港區	121.600061	25.054538
家樂福超市	後龍中山店	356 苗栗縣後龍鎮中山路116-120號	苗栗縣	後龍鎮	121.50453	25.040737
家樂福超市	員林博愛店	510 彰化縣員林市博愛路185號	彰化縣	員林市	120.572573	23.960957
家樂福超市	桃園大興西店	330 桃園市桃園區大興西路二段63號、65號	桃園市	桃園區	121.298746	25.011207
家樂福超市	桃園大豐店	330 桃園市桃園區大豐路89號	桃園市	桃園區	121.31641	24.980306
家樂福超市	桃園文化七店	333 桃園市龜山區文化七路173號	桃園市	龜山區	121.367008	25.051965
家樂福超市	桃園文德二店	333 桃園市龜山區樂善村文德二路123號	桃園市	龜山區	121.381228	25.055496
家樂福超市	桃園南華店	330 桃園市桃園區南華街77號1樓	桃園市	桃園區	121.308029	24.991057
家樂福超市	桃園國際店	330 桃園市桃園區國際路一段1169號	桃園市	桃園區	121.288894	24.988736
