類別	名稱	地址	縣市	鄉鎮
萊爾富	中和浪漫店	235新北市中和區工專路38號	新北市	七堵區
萊爾富	士林月圓店	111台北市士林區磺溪街23號一樓全部	台北市	士林區
萊爾富	彰化西勢子店	500彰化縣彰化市彰和路一段56巷1號一樓	彰化縣	西區
萊爾富	宜蘭好運店	260宜蘭縣宜蘭市校舍路161、161-1、161-2號	宜蘭縣	土城區
萊爾富	內湖紫陽店	114台北市內湖區文德路210巷30弄6、8、10號一樓	台北市	內湖區
萊爾富	宜蘭陽明店	260宜蘭縣宜蘭市陽明二路78、80、82號一樓	宜蘭縣	土城區
萊爾富	五結傳中店	268宜蘭縣五結鄉季新村五濱路二段201號	宜蘭縣	淡水區
萊爾富	台南湖美店	700台南市中西區民權路四段138號	台南市	西螺鎮
萊爾富	新屋新華店	327桃園市新屋區新華路一段102號	桃園市	尖石鄉
萊爾富	文山心動店	116台北市文山區木柵路一段168、170號	台北市	文山區
萊爾富	仁武永仁店	814高雄市仁武區八卦里永仁街272-1號	高雄市	北門區
萊爾富	中壢海華店	320桃園市中壢區九和一街68、70號	桃園市	湖口鄉
萊爾富	南投八卦店	540南投縣南投市八卦路1258號	南投縣	花壇鄉
萊爾富	大安溫州店	106台北市大安區羅斯福路三段283巷11號一樓	台北市	大安區
萊爾富	楠梓常德店	811高雄市楠梓區常德路324巷10號	高雄市	南化區
萊爾富	中山力行店	104台北市中山區龍江路47號	台北市	中山區
萊爾富	北投火山店	112台北市北投區中和街504號及中和街506號、508號	台北市	北投區
萊爾富	內湖樂康店	114台北市內湖區康樂街136巷18弄1號1樓	台北市	內湖區
萊爾富	新竹大蓮店	300新竹市東區南大路299、301號	新竹市	金湖鎮
萊爾富	中山晶華店	104台北市中山區林森北路258號	台北市	中山區
萊爾富	南港慈祐宮店	115台北市南港區南港路三段358、360號一樓	台北市	南港區
萊爾富	新園鹽埔店	932屏東縣新園鄉中正路142號1樓	屏東縣	大寮區
萊爾富	新屋芳華店	327桃園市新屋區中華南路二段298、300、302號	桃園市	尖石鄉
萊爾富	宜蘭廣進店	260宜蘭縣宜蘭市中山路一段118號1、2樓	宜蘭縣	土城區
萊爾富	竹北生醫店	302新竹縣竹北市生醫路一段2號	新竹縣	蘇澳鎮
萊爾富	士林大宮町店	111台北市士林區承德路四段130號及後港街37號	台北市	士林區
萊爾富	竹北中正西店	302新竹縣竹北市中正西路213號	新竹縣	蘇澳鎮
萊爾富	中壢慈惠店	320桃園市中壢區恩德街40號及慈惠二街41號	桃園市	湖口鄉
萊爾富	宜蘭黃龍店	260宜蘭縣宜蘭市建軍路46號(編號BG010031-044)	宜蘭縣	土城區
萊爾富	鹿谷農會店	558南投縣鹿谷鄉中正路二段77號	南投縣	溪湖鎮
萊爾富	新竹創聯店	300新竹市東區科學園區力行六路2、6、10號	新竹市	金湖鎮
萊爾富	大安新台大店	106台北市大安區羅斯福路四段1號	台北市	大安區
萊爾富	三星聖嘉民店	266宜蘭縣三星鄉三星路二段265巷100號	宜蘭縣	石門區
萊爾富	中山國賓店	104台北市中山區中山北路二段65巷6號1、2樓	台北市	中山區
萊爾富	嘉義保建店	600嘉義市東區保建街40號&amp;42號&amp;46號壹樓全部	嘉義市	香山區
萊爾富	新竹科園店	300新竹市東區科學園路151號及光復路一段531巷132、136號	新竹市	金湖鎮
萊爾富	松山撫遠店	105台北市松山區撫遠街394巷1號、3號	台北市	松山區
萊爾富	中和霸氣店	235新北市中和區民德路163、165、167、169號	新北市	七堵區
萊爾富	中山錦東店	104台北市中山區錦州街32之1號及32之2號	台北市	中山區
萊爾富	新園鹽港店	932屏東縣新園鄉光復路126號	屏東縣	大寮區
萊爾富	內湖安康店	114台北市內湖區安康路142號一樓	台北市	內湖區
萊爾富	中壢興國店	320桃園市中壢區元化路二段45號	桃園市	湖口鄉
萊爾富	新竹水仙店	300新竹市東區園區二路325號	新竹市	金湖鎮
萊爾富	新竹廣場店	300新竹市東區林森路2號	新竹市	金湖鎮
萊爾富	彰化漢銘店	500彰化縣彰化市中山路一段366號	彰化縣	西區
萊爾富	中和嘉德店	235新北市中和區安平路89-2、89-3號	新北市	七堵區
萊爾富	嘉義忠孝北店	600嘉義市東區忠孝北街109號	嘉義市	香山區
萊爾富	大里塗城店	412台中市大里區塗城里塗城路158之1號	台中市	三義鄉
萊爾富	台中交轉店	400台中市中區雙十路一段29號1樓、29號2樓之1	台中市	公館鄉
萊爾富	中壢米干店	320桃園市中壢區龍東路122、124號	桃園市	湖口鄉
