類別	名稱	地址
OKmart	OK蘆竹海山店	桃園市蘆竹區海山路１段232號1樓
OKmart	OK南崁高中門市	桃園市蘆竹區仁愛路２段１號
OKmart	OK開南大學門市	桃園市蘆竹區開南路1號(行政大樓B1)
OKmart	OK蘆竹大新店	桃園市蘆竹區大新一街92號1樓
OKmart	OK大園三和店	桃園市大園區拔子林9-9號1樓
OKmart	OK桃園果林店	桃園市大園區?林路191-193號
OKmart	OK大園長榮門市	桃園市大園區航勤北路8-1號3樓
OKmart	OK大園三民店	桃園市大園區三民路２段95、97號1樓
OKmart	OK大園遠雄門市	桃園市大園區航翔路101號1樓
OKmart	OK大園尖山店	桃園市大園區中山南路１段82、84號1樓
OKmart	OK大園新興店	桃園市大園區和平東路2號1樓
OKmart	OK大園高中門市	桃園市大園區大成路２段8號1樓(大園國際高中)
OKmart	OK平鎮湧光店	桃園市平鎮區湧光路448.450號
OKmart	OK平鎮德育店	桃園市平鎮區德育路２段165號1樓
OKmart	OK平鎮崇泰店	桃園市平鎮區延平路三段6-1號1樓
OKmart	OK平鎮忠貞店	桃園市平鎮區龍南路349號
OKmart	OK平鎮平東店	桃園市平鎮區平東路31-1號
OKmart	OK平鎮山峰店	桃園市平鎮區中豐路山頂段373號
OKmart	OK平鎮新榮店	桃園市平鎮區延平路１段199/201號
OKmart	OK平鎮龍恩店	桃園市平鎮區游泳路120巷1弄2、4號1樓
OKmart	OK平鎮環南店	桃園市平鎮區龍南路20、22、24號1樓
OKmart	OK平鎮壢新店	桃園市平鎮區復旦路２段23巷1號
OKmart	OK平鎮和平店	桃園市平鎮區和平路117號1樓
OKmart	OK平鎮貿西店	桃園市平鎮區中正五路162號1樓
OKmart	OK平鎮振金店	桃園市平鎮區金陵路２段24、26號1樓
OKmart	OK平鎮華光店	桃園市平鎮區金陵路三段249號1樓
OKmart	OK平鎮東安店	桃園市平鎮區平東路138號1樓
OKmart	OK晶技門市	桃園市平鎮區工業六路4號B1樓
OKmart	OK技嘉門市	桃園市平鎮區南平路211號1樓
OKmart	OK平鎮金陵店	桃園市平鎮區金陵路２段482號1樓
OKmart	OK平鎮高中門市	桃園市平鎮區環南路３段100號
OKmart	OK桃園高城店	桃園市八德區高城路72號
OKmart	OK大湳和平店	桃園市八德區和平路222號
OKmart	OK大湳大安店	桃園市八德區和平路530/532號
OKmart	OK八德瑞豐店	桃園市八德區介壽路二段935號
OKmart	OK八德大宏店	桃園市八德區桃德路125/123號1樓
OKmart	OK八德長和店	桃園市八德區和平路670號1樓
OKmart	OK永豐高中門市	桃園市八德區永豐路609號
OKmart	OK八德興豐店	桃園市八德區興豐路572、574號
OKmart	OK八德桃福店	桃園市八德區桃德路382號
OKmart	OK國防大學門市	桃園市八德區興豐路1000號
OKmart	OK新屋東明店	桃園市新屋區中山西路一段572號1樓
OKmart	OK楊梅永美店	桃園市楊梅區永美路163號
OKmart	OK楊梅埔心店	桃園市楊梅區永美路329號
