類別	名稱	地址	經度	緯度
麥當勞	民權一	台北市松山區民權東路3段128號1樓	121.5460883	25.06182536
麥當勞	台北德行	台北市士林區德行東路227號1樓	121.5330808	25.10953517
麥當勞	高島屋	台北市士林區忠誠路2段55號B1	121.5314392	25.11181169
麥當勞	台北信義	台北市大安區信義路4段273號1樓	121.554527	25.03335013
麥當勞	台北南京五(含現烤法點)	台北市中山區南京東路三段210之1號	121.543288	25.05172
麥當勞	士林旗艦專櫃(含現烤法點)	台北市士林區中山北路5段602號	121.5281379	25.09606603
麥當勞	忠孝五	台北市大安區忠孝東路4段73號之一1樓	121.5469866	25.04198702
麥當勞	台北麟光	台北市大安區和平東路3段406巷8號1樓	121.5580079	25.01833273
麥當勞	長春(含現烤法點)	台北市中山區長春路172號	121.5338497	25.05469247
麥當勞	台北民權二	台北市中山區民權東路2段43號1樓	121.5304708	25.06275925
麥當勞	台北石牌	台北市北投區石牌路2段126號	121.5173859	25.11789716
麥當勞	復興二	台北市大安區復興南路二段273號	121.5436483	25.02567103
麥當勞	林森三(含現烤法點)	台北市中山區林森北路413號1樓	121.5257128	25.05977522
麥當勞	台北濟南	台北市中正區濟南路2段66號1樓	121.5324431	25.04009321
麥當勞	林森一旗艦專櫃(含現烤法點)	台北市中山區南京東路1段86號	121.5256176	25.0519182
麥當勞	民權三	台北市中山區民權西路68號1樓	121.5199814	25.06265445
麥當勞	民生三	台北市大同區民生西路55號	121.5203539	25.05774497
麥當勞	重北一	台北市士林區重慶北路4段123號	121.5119961	25.08312467
麥當勞	南西誠品旗艦專櫃(含現烤法點)	台北巿中山區南京西路14號1F+B1	121.52065736	25.05196687
麥當勞	台北承德二旗艦專櫃(含現烤法點)	台北市北投區承德路7段262號1樓	121.5059279	25.11589994
麥當勞	林森二旗艦專櫃(含現烤法點)	台北市中正區林森南路1號	121.5233575	25.04442717
麥當勞	台北北投	台北市北投區光明路218-3號	121.5043178	25.1362384
麥當勞	台北承德	台北市大同區承德路1段34號1樓	121.5167717	25.05075425
麥當勞	台北新生旗艦專櫃(含現烤法點)	台北市大安區新生南路3段88之2號	121.5333377	25.0180454
麥當勞	台北車站微風	台北市中正區北平西路3號1樓	121.516937	25.047773
麥當勞	台北站前誠品	台北市中正區忠孝西路一段47號 B1	121.51707	25.0467
麥當勞	台北台大(含現烤法點)	大安區羅斯福路四段1號1樓之台灣大學第一學生活動中心賣場	121.535101	25.014641
麥當勞	台北公館	台北市中正區羅斯福路四段76-1號	121.53427	25.014631
麥當勞	台北公園	台北市中正區公園路30-1號	121.5167978	25.04429185
麥當勞	台北館前(含現烤法點)	台北市中正區館前路8號	121.5148951	25.0458144
麥當勞	台北大業旗艦專櫃(含現烤法點)	台北市北投區北投路2段15號	121.4986009	25.13108431
麥當勞	羅斯福(含現烤法點)	台北市大安區羅斯福路2段45號	121.5223465	25.0275174
麥當勞	台北南昌	台北市中正區南昌路1段149號1樓	121.5186598	25.02943272
麥當勞	遠東寶慶	台北市中正區寶慶路32號B1	121.5091136	25.04168895
