類別	名稱	地址
愛買	基隆店	基隆市信義區深溪路53號B1
愛買	忠孝店	台北市信義區忠孝東路五段297號B1、B2、B3
愛買	景美店	台北市文山區景中街30巷12號
愛買	永和店	新北市永和區民生路46巷56號
愛買	三重店	新北市三重區中正北路193巷45號
愛買	南雅店	新北市板橋區貴興路101號1、2樓
愛買	@網購	新北市板橋區貴興路101號4樓
愛買	桃園店	桃園市桃園區中山路939號
愛買	楊梅店	桃園縣楊梅市中山北路二段23巷6號
愛買	新竹店	新竹市東區公道五路二段469號
愛買	巨城店	新竹市東區中央路229號
愛買	豐原店	臺中市豐原區南村里水源路420號
愛買	復興店	臺中市復興路一段359號
愛買	水湳店	台中市西屯區中清路二段1199號
愛買	台南店	臺南市永康區中正南路533號
愛買	花蓮店	花蓮縣花蓮市和平路581號B1
