類別	名稱	地址	經度	緯度
屈臣氏	學勤	新北市三峽區大學路150-2號	121.376143	24.941681
屈臣氏	三芝	新北市三芝區育英街1號	121.50138	25.258104
屈臣氏	三重	新北市三重區重新路二段78號	121.497226	25.061916
屈臣氏	五華	新北市三重區五華街59號	121.492776	25.082552
屈臣氏	正義	新北市三重區正義北路179號	121.496466	25.067608
屈臣氏	力行	新北市三重區忠孝路二段107號	121.483785	25.069688
屈臣氏	三和	新北市三重區三和路四段155巷2號	121.483619	25.078509
屈臣氏	中央	新北市三重區中央北路134號	121.499706	25.068116
屈臣氏	三華	新北市三重區中華路99號	121.483676	25.063155
屈臣氏	集美	新北市三重區集美街103號	121.489191	25.052984
屈臣氏	三和2	新北市三重區三和路四段420號	121.480625	25.079853
屈臣氏	溪尾	新北市三重區溪尾街185號	121.488776	25.080568
屈臣氏	中正北	新北市三重區中正北路189號	121.477371	25.069636
屈臣氏	中和	新北市中和區興南路一段47號	121.510874	24.990347
屈臣氏	漢生	新北市中和區中山路三段191號	121.472411	25.006226
屈臣氏	中連	新北市中和區中和路1號	121.499677	25.002351
屈臣氏	華新	新北市中和區華新街95號	121.508763	24.983056
屈臣氏	員山	新北市中和區員山路198號	121.481336	25.00054
屈臣氏	南勢角	新北市中和區景新街420號	121.512799	24.988889
屈臣氏	莒光2	新北市中和區莒光路127號	121.472582	25.001995
屈臣氏	連城	新北市中和區連城路351號	121.487972	24.996129
屈臣氏	景安	新北市中和區景平路353號	121.504791	24.99331
屈臣氏	宜安	新北市中和區宜安路148號	121.509422	24.998579
屈臣氏	五股	新北市五股區工商路80號	121.438253	25.085102
屈臣氏	八里	新北市八里區中山路二段399號	121.398002	25.146687
屈臣氏	土城	新北市土城區學府路一段109號	121.455758	24.987494
屈臣氏	金城	新北市土城區金城路三段1號	121.464321	24.986231
屈臣氏	土城2	新北市土城區中央路二段169號	121.442153	24.976131
屈臣氏	裕民	新北市土城區裕民路52號	121.448405	24.98806
屈臣氏	延和	新北市土城區延和路170號	121.468612	24.990243
屈臣氏	新店	新北市新店區中正路156號	121.541461	24.971875
屈臣氏	北新	新北市新店區北新路三段77號	121.541382	24.981407
屈臣氏	安康	新北市新店區安康路二段198號	121.512769	24.962515
屈臣氏	文中	新北市新店區文中路8號	121.537623	24.956835
屈臣氏	大坪林	新北市新店區民權路55號	121.538028	24.982886
屈臣氏	耕莘	新北市新店區中正路348號	121.536395	24.975286
屈臣氏	七張	新北市新店區北新路二段65號	121.542703	24.973454
屈臣氏	新莊	新北市新莊區新泰路132號	121.447979	25.036917
屈臣氏	民安	新北市新莊區民安路188巷6號	121.425023	25.023437
屈臣氏	幸福	新北市新莊區幸福路700號	121.449961	25.049436
屈臣氏	中港	新北市新莊區中港路297號	121.452766	25.044334
屈臣氏	新福	新北市新莊區幸福路524號	121.456043	25.049461
屈臣氏	輔仁	新北市新莊區中正路516-2號	121.433416	25.032501
屈臣氏	富國	新北市新莊區富國路26號	121.418674	25.026267
屈臣氏	五權	新北市新莊區五權一路48號	121.457872	25.065724
屈臣氏	中平	新北市新莊區中平路87巷1號	121.444562	25.045692
屈臣氏	新泰二	新北市新莊區新泰路55號	121.449209	25.033956
屈臣氏	民安西	新北市新莊區民安西路228號	121.42579	25.01441
屈臣氏	新和	新北市新莊區中和街2號	121.448619	25.042902
屈臣氏	埔墘	新北市板橋區中山路二段188號	121.477502	25.017444
屈臣氏	四維	新北市板橋區四維路257號	121.46339	25.027982
屈臣氏	陽明	新北市板橋區文化路一段280號	121.467269	25.021329
屈臣氏	板七	新北市板橋區中正路222號	121.455936	25.018483
屈臣氏	板中	新北市板橋區中山路一段19號	121.460043	25.008246
屈臣氏	新海	新北市板橋區新海路150號	121.46065	25.023836
屈臣氏	四川	新北市板橋區忠孝路25號	121.460521	25.002078
屈臣氏	莒光	新北市板橋區莒光路33號	121.470339	25.024542
屈臣氏	南雅	新北市板橋區南雅南路一段27號	121.45635	25.006647
屈臣氏	雙十	新北市板橋區雙十路二段213號	121.47307	25.028868
屈臣氏	板金	新北市板橋區金門街286號	121.429326	24.985993
屈臣氏	民治	新北市板橋區民治街123號	121.478186	25.030844
屈臣氏	長壽	新北市板橋區三民路二段97號	121.479384	25.016267
屈臣氏	亞東	新北市板橋區四川路二段51號	121.453875	24.9951
屈臣氏	板文	新北市板橋區文化路一段411號	121.467242	25.02241
屈臣氏	國慶	新北市板橋區國慶路183號	121.462848	24.996456
屈臣氏	林口	新北市林口區中正路103號	121.394067	25.077206
屈臣氏	林口二	新北市林口區文化二路一段152號	121.368449	25.071485
屈臣氏	林口三	新北市林口區仁愛路二段247號	121.372864	25.076356
屈臣氏	樹二	新北市樹林區博愛一街9號	121.425401	24.991138
屈臣氏	樹林3	新北市樹林區中華路267號	121.417871	24.980387
屈臣氏	新樹林	新北市樹林區中山路一段116號	121.422813	24.990662
屈臣氏	北大二	新北市樹林區大雅路279號	121.379733	24.946805
屈臣氏	永和	新北市永和區永和路二段209號	121.515319	25.013838
屈臣氏	竹林	新北市永和區竹林路231號	121.520961	25.008379
屈臣氏	得和	新北市永和區得和路399號	121.525559	24.999276
屈臣氏	樂華	新北市永和區永和路一段164號	121.514255	25.008673
屈臣氏	永安	新北市永和區中和路515號	121.510858	25.00258
屈臣氏	秀山	新北市永和區民權路53號	121.519986	24.996879
屈臣氏	中興	新北市永和區中興街91號	121.517568	25.01201
屈臣氏	中山	新北市永和區中山路一段212號	121.508421	25.008517
屈臣氏	新智光	新北市永和區中正路101號	121.515531	24.997439
屈臣氏	汐止	新北市汐止區中興路168號	121.631885	25.065527
屈臣氏	汐止2	新北市汐止區忠孝東路267號	121.663397	25.0681
屈臣氏	新台五	新北市汐止區新台五路一段161號	121.65415	25.06274
屈臣氏	建成	新北市汐止區建成路48號	121.66286	25.073132
屈臣氏	汐福	新北市汐止區福德一路89號	121.638057	25.068452
屈臣氏	汐科	新北市汐止區新台五路一段93號(iFG遠雄購物中心B1)	121.646699	25.060944
屈臣氏	泰山	新北市泰山區明志路三段184號	121.425122	25.040705
屈臣氏	泰林	新北市泰山區泰林路二段185號	121.429309	25.06335
屈臣氏	泰仁	新北市泰山區仁愛路83號	121.433617	25.055678
屈臣氏	淡水	新北市淡水區英專路46號	121.445691	25.170475
屈臣氏	竹圍	新北市淡水區民族路10號	121.460721	25.136738
屈臣氏	淡海	新北市淡水區中山北路一段48號	121.441883	25.175452
屈臣氏	淡江	新北市淡水區北新路182巷5號	121.449322	25.178128
屈臣氏	深坑	新北市深坑區北深路三段177號	121.599555	25.004381
屈臣氏	瑞芳	新北市瑞芳區明燈路三段62號	121.806725	25.10807
屈臣氏	蘆洲	新北市蘆洲區長安街138號	121.46021	25.082098
