類別	名稱	地址
星巴克	台北圓環門市	台北市大同區南京西路288號
星巴克	寶平門市	台北市中正區寶慶路32號
星巴克	南園門市	台北市南港區園區街3號2樓之7
星巴克	大直植福門市	台北市中山區敬業二路115號1樓
星巴克	美麗華門市	台北市中山區敬業三路20號
星巴克	木新門市	台北市文山區木新路3段162號
星巴克	南港門市	台北市南港區三重路19-10號1樓
星巴克	漢中門市	台北市萬華區漢中街51號
星巴克	保安門市	台北市大同區保安街11號
星巴克	西門桂林門市	台北市萬華區桂林路1號
星巴克	南港中信門市	台北市南港區經貿二路186號1樓
星巴克	實踐門市	台北市中山區大直街70號1樓
星巴克	永和愛買門市	新北市永和區民生路46巷50號
星巴克	永和永安門市	新北市永和區安樂路248-7號1F
星巴克	慈濟門市	新北市新店區建國路289號2樓
星巴克	西門昆明門市	台北市萬華區武昌街二段77號
星巴克	西門成都門市	台北市萬華區成都路87號
星巴克	北新門市	新北市新店區民權路27號
星巴克	新店建國門市	新北市新店區民權路78號
星巴克	內湖葫洲門市	台北市內湖區民權東路6段312號1F
星巴克	萬華西藏門市	台北市萬華區西藏路123號
星巴克	庫倫承德門市	台北市大同區庫倫街51號
星巴克	康寧門市	台北市內湖區康寧路三段72號1樓
星巴克	雙和門市	新北市永和區中山路一段240號1樓
星巴克	新中門市	新北市新店區中興路三段3號
星巴克	潤湖門市	台北市內湖區成功路四段188號2F
星巴克	艋舺門市	台北市萬華區西園路一段306巷24號 &amp; 26號
星巴克	士林承德門市	台北市士林區承德路四段67號
星巴克	新店中正門市	新北市新店區中正路265號
星巴克	南勢角門市	新北市中和區和平街1號
星巴克	中和景安門市	新北市中和區景安路116號
星巴克	中和連城門市	新北市中和區連城路71號1-2樓
星巴克	新店門市	新北市新店區北新路一段305號
星巴克	三重正義門市	新北市三重區正義北路140號
星巴克	士捷門市	台北市士林區中正路239號
星巴克	汐止湖前門市	新北市汐止區湖前街78 &amp; 80號
星巴克	汐止福德門市	新北市汐止區福德一路190號
星巴克	三重菜寮門市	新北市三重區新北大道1段6號
星巴克	雙和醫院門市	新北市中和區中正路291號
星巴克	科教館門市	台北市士林區士商路189號
星巴克	立言門市	新北市中和區中正路866號1F
星巴克	中科門市	新北市中和區建一路152號
星巴克	新店總站門市	新北市新店區北宜路一段2號2F
星巴克	中和遠科門市	新北市中和區連城路268號1樓
星巴克	天母崇光門市	台北市士林區中山北路六段77號B1
星巴克	東科門市	新北市汐止區新台五路一段94號1樓
星巴克	板雙門市	新北市板橋區雙十路二段193號 (江子翠捷運站4號出口斜對面)
星巴克	汐科門市	新北市汐止區新台五路一段99號
星巴克	板橋萬板門市	新北市板橋區萬板路32號
星巴克	環球門市	新北市中和區中山路三段122號
星巴克	忠誠門市	台北市士林區士東路123號
星巴克	板橋新巨蛋門市	新北市板橋區文化路1段360號
星巴克	三重三和門市	新北市三重區三和路四段388-2號
星巴克	湯城門市	新北市三重區重新路五段609巷10號之3
星巴克	二重門市	新北市三重區重新路五段654號 (新莊IKEA旁的家樂福賣場1樓)
星巴克	重陽集賢門市	新北市三重區集賢路137號
星巴克	天母中山門市	台北市士林區中山北路6段719號1F
星巴克	板橋新埔門市	新北市板橋區文化路1段220號
星巴克	板大遠百9F門市	新北市板橋區新站路28號9樓
星巴克	板橋大遠百門市	新北市板橋區新站路28號2樓
星巴克	天玉門市	台北市士林區天玉街38巷18弄1號
星巴克	遠百中山門市	新北市板橋區中山路一段152號2F
星巴克	板橋車站門市	新北市板橋區縣民大道二段7號B1(近台鐵及高鐵入口處)
星巴克	板橋捷運門市	新北市板橋區縣民大道二段7號B1
星巴克	振興門市	台北市北投區振興街37號
星巴克	板站1F門市	新北市板橋區縣民大道二段7號1F
星巴克	石牌門市	台北市北投區石牌路二段74號1~3樓
星巴克	汐止大同門市	新北市汐止區大同路2段500號
星巴克	台北榮總門市	台北市北投區石牌路二段201號
星巴克	新莊思源門市	新北市新莊區思源路448號
星巴克	板中門市	新北市板橋區中山路一段15號1樓
星巴克	板橋忠孝門市	新北市板橋區忠孝路 31號
