類別	編號	名稱	地址	縣市	鄉鎮	經度	緯度
公車站牌	1000150	正義重新路口	正義北路19號(向北)	Taipei		121.4975969	25.06353227	
公車站牌	1000151	忠孝路口	忠孝路一段(向西)	Taipei		121.491880982174	25.0718610139708	
公車站牌	1000152	舊莊	舊莊街一段199巷16弄2號(向西)	Taipei		121.622734485156	25.0384056841054	
公車站牌	1000155	台泥大樓(馬偕醫院)	中山北路二段110號(向南)	Taipei		121.522776776113	25.0608309862107	
公車站牌	1000156	國賓飯店	中山北路二段(向南)	Taipei		121.522628910085	25.0564276089864	
公車站牌	1000157	國賓飯店	中山北路二段(向北)	Taipei		121.522969858739	25.0562422589842	
公車站牌	1000158	台泥大樓(馬偕醫院)	中山北路二段123號(向北)	Taipei		121.5230341	25.06158152	
公車站牌	1000160	後港里	福港街(向北)	Taipei		121.518222	25.089027	
公車站牌	1000161	福港街	承德路四段311號對向(向北)	Taipei		121.51767	25.09023073	
公車站牌	1000162	民權吉林路口	民權東路二段(向西)	Taipei		121.529161500974	25.0625939969562	
公車站牌	1000163	長安東路二段	松江路75之1號(向北)	Taipei		121.533115926333	25.0495344197275	
公車站牌	1000164	中山女高	臺北市中山區八德路二段(向東)	Taipei		121.5381002	25.04827992	
公車站牌	1000167	民族重慶路口	重慶北路三段(向北)	Taipei		121.513799396271	25.0683085066047	
公車站牌	1000168	大龍峒保安宮	庫倫街62號(向東)	Taipei		121.5154577	25.07195442	
公車站牌	1000169	明倫高中	承德路三段距哈密街30公尺(向北)	Taipei		121.5199745	25.0742494	
公車站牌	1000170	捷運劍潭站(北藝中心)	基河路捷運劍潭站1號出口對面(向南)	Taipei		121.524748	25.084849	
公車站牌	1000171	公教住宅	基河路253號北側(向北)	Taipei		121.522119	25.090677	
公車站牌	1000175	圓山新城一	通北街(向西)	Taipei		121.539602	25.082628	
公車站牌	1000178	後車站	重慶北路一段(向北)	Taipei		121.5135627	25.05026956	
公車站牌	1000179	大道路	大道路(向北)	Taipei		121.5827027	25.0403216	
公車站牌	1000180	忠孝大道路口	大道路(向北)	Taipei		121.581542	25.04243848	
公車站牌	1000181	國民住宅	永吉路195之1號(向西)	Taipei		121.5737034	25.04566198	
公車站牌	1000183	台北銀行	吉林路109號對面(向南)	Taipei		121.5300534	25.0563427	
公車站牌	1000184	民權龍江路口	民權東路三段(向西)	Taipei		121.541275218891	25.0623959365736	
公車站牌	1000186	民權龍江路口	民權東路三段(向東)	Taipei		121.540554014847	25.0623255291835	
公車站牌	1000192	青潭(新烏)	青潭路(向南)	Taipei		121.54646	24.95129	
公車站牌	1000194	長安國小(吉林)	吉林路(向北)	Taipei		121.530068	25.049486	
公車站牌	1000195	南京東路口	吉林路39號(向北)	Taipei		121.530156	25.051132	
公車站牌	10002	連城中和路口	新北市土城區連城路24號(向南)	Taipei		121.498749	25.002187	
公車站牌	1000201	五分埤	康樂街200號(向南)	Taipei		121.62118809341	25.0762017702812	
公車站牌	1000202	東湖站	忠三街5號(向南)	Taipei		121.6242289	25.07836219	
公車站牌	1000203	康樂街	康樂街116號(向南)	Taipei		121.619134959956	25.0711232284945	
公車站牌	1000204	內湖焚化廠(安康)	安康路228號對面(向西)	Taipei		121.603153	25.063126	
公車站牌	1000205	內湖焚化廠(葫蘆洲公園)	安康路228巷23號對面候車亭(向北)	Taipei		121.603466	25.062478	
公車站牌	1000206	南松山(南京)	南京東路五段(向西)	Taipei		121.569058	25.051515	
公車站牌	1000207	內湖焚化廠(安康)	安康路228號前(向東)	Taipei		121.6030952	25.06305438	
公車站牌	1000209	捷運東湖站(南湖高中)	康寧路三段247號(向北)	Taipei		121.611416	25.066845	
公車站牌	1000211	五分埤	康樂街200號對面(向北)	Taipei		121.621188834486	25.0761334864734	
公車站牌	1000212	忠三街口	忠三街5號前(向東)	Taipei		121.624026	25.078496	
公車站牌	1000213	新湖一路口	舊宗路一段128號南側(向南)	Taipei		121.578858331191	25.0605916742291	
公車站牌	1000215	潭美國小(舊宗)	舊宗路一段36號(向南)	Taipei		121.580495	25.058297	
公車站牌	1000216	南松山(塔悠)	塔悠路59號(向北)	Taipei		121.570312	25.052118	
公車站牌	1000217	發電所(西松高中)	台北市松山區塔悠路舊宗二號公園前(向北)	Taipei		121.569875	25.055027	
公車站牌	1000218	新東里	台北市松山區塔悠路195號前(向北)	Taipei		121.569393769344	25.0577179708185	
公車站牌	1000221	南松山(塔悠)	塔悠路80號(向南)	Taipei		121.570154	25.051932	
公車站牌	1000222	潭美國小(舊宗)	舊宗路一段30巷口對面(向北)	Taipei		121.581074	25.057957	
公車站牌	1000223	新湖一路口	舊宗路一段159號南側(向北)	Taipei		121.5791317	25.06054231	
公車站牌	1000224	新湖三路口(台北花市)	台北市內湖區新湖三路與舊宗路一段交叉口東南角約20公尺處(向北)	Taipei		121.577205	25.063161	
公車站牌	1000225	行忠路口	舊宗路一段(向北)	Taipei		121.576305	25.06425	
公車站牌	1000227	敬業四路	敬業四路(向北)	Taipei		121.558539	25.081622	
公車站牌	1000231	捷運科技大樓站	復興南路一段(向南)	Taipei		121.5433292	25.02679227	
公車站牌	1000232	憲光公寓	興隆路一段222號前(向南)	Taipei		121.54389161859	24.9994337628866	
公車站牌	1000234	萬隆	羅斯福路六段40號對面候車亭(向北)	Taipei		121.5402001	24.99931624	
公車站牌	1000235	捷運萬隆站	羅斯福路六段245號(向北)	Taipei		121.5392576	25.00138697	
公車站牌	1000237	芝麻大廈	復興南路一段(向北)	Taipei		121.54397	25.049009	
公車站牌	1000238	捷運南京復興站	復興北路(向北)	Taipei		121.54428	25.053562	
公車站牌	1000242	龍山寺(康定)	康定路191號對面(向南)	Taipei		121.5012851	25.03630505	
公車站牌	1000243	華中橋	景平路693號(向南)	Taipei		121.4965023	25.00318965	
公車站牌	1000251	南港軟體園區北站	三重路19-12號(向南)	Taipei		121.614112062159	25.0586133398695	
公車站牌	1000252	南港軟體園區南站	三重路19-2號(向南)	Taipei		121.613920889394	25.0565852025479	
公車站牌	1000253	南港高工(南港路)	南港路一段257號對面(向西)	Taipei		121.609776304165	25.0549683149017	
公車站牌	1000254	土地公廟	台北市南港路二段290號(向西)	Taipei		121.595509916336	25.0544903819023	
公車站牌	1000255	中山女高	長安東路二段中山女高(向西)	Taipei		121.537798642451	25.0484436106169	
公車站牌	1000256	捷運劍潭站(北藝中心)	基河路捷運劍潭站1號出口南側(向北)	Taipei		121.524923	25.084914	
公車站牌	1000257	新民路底	新民路107號對面(向北)	Taipei		121.514253	25.141676	
公車站牌	1000259	東山路	東山路23號(向北)	Taipei		121.539164314308	25.1158769834742	
公車站牌	1000264	台電台北北區營業處	中山北路五段439號對面候車亭(向南)	Taipei		121.5273919	25.09069989	
公車站牌	1000266	劍潭	中山北路四段67號對面(向南)	Taipei		121.524712226022	25.0817595131148	
公車站牌	1000269	基隆路口	八德路四段(向西)	Taipei		121.568426853203	25.0493159752737	
公車站牌	1000270	土地公廟	南港路二段(向東)	Taipei		121.596292330392	25.0543174926906	
公車站牌	1000271	台肥新村	南港路二段31號(向東)	Taipei		121.603021736172	25.053655363078	
公車站牌	1000272	南港行政中心	南港路一段(向東)	Taipei		121.607081950596	25.0543759163622	
公車站牌	1000273	南港軟體園區北站	三重路19-14號對面(向北)	Taipei		121.614215597554	25.0587032902579	
公車站牌	1000275	士林國中	中正路300號(向西)	Taipei		121.523354234095	25.0948726073598	
公車站牌	1000277	南昌路	南昌路一段61至73號(向北)(牙醫)	Taipei		121.517416	25.030967	
公車站牌	1000280	行善路	行善路35號(向西)	Taipei		121.5764993	25.05717396	
公車站牌	1000281	新湖民善街口(一)	新湖一路、民善街口第1支燈桿對面(向東)	Taipei		121.5760209	25.05864893	
公車站牌	1000285	行愛路77巷口	行愛路、新湖一路口(向北)	Taipei		121.5814889	25.06239078	
公車站牌	1000286	行愛路	行愛路130號(向北)	Taipei		121.580149	25.064185	
公車站牌	1000287	國盛國宅	南海路(向南)	Taipei		121.5075488	25.02762806	
公車站牌	1000288	德行東路	德行東路(向西)	Taipei		121.532047	25.109121	
公車站牌	1000289	芝山抽水站	至誠路一段(向西)	Taipei		121.527191	25.101325	
公車站牌	1000290	芝山抽水站	至誠路一段(向東)	Taipei		121.527205	25.101235	
公車站牌	1000292	德行東路	德行東路189號對面(向東)	Taipei		121.5316696	25.10882301	
公車站牌	1000293	內湖站	新湖二路(向西)	Taipei		121.5852335	25.06498518	
公車站牌	1000294	吳興街口	基隆路二段22號(向南)	Taipei		121.5586001	25.03159406	
公車站牌	1000295	三興國小(臨江街觀光夜市)	基隆路二段123號對面(向南)	Taipei		121.556522	25.028215	
公車站牌	1000296	永元路	永元路89號(向南)	Taipei		121.522296	25.00158	
公車站牌	1000297	福和橋(林森路)	林森路88號(向南)	Taipei		121.523431	25.003877	
公車站牌	1000298	永元路	永元路34號(向北)	Taipei		121.522385215721	25.0012830070909	
公車站牌	1000299	玉成公園(中坡)	中坡南路72號對面玉成公園(向北)	Taipei		121.585063	25.041958	
公車站牌	10003	連城景平路(暫時裁撤)	連城路114號(向南)	Taipei		121.496156410982	24.9995896339066	
公車站牌	1000300	玉成公園(中坡)	中坡南路(向西)	Taipei		121.5851435	25.04110747	
公車站牌	1000301	協和祐德高中	中坡南路福德宮(向北)	Taipei		121.583992	25.042564	
公車站牌	1000302	福和國中	永利路(向東)	Taipei		121.521553502861	25.0031337977071	
公車站牌	1000303	福和橋(永元路)	永元路124號(向北)	Taipei		121.522833	25.002882	
公車站牌	1000308	真光教養院	安和路三段(向北)	Taipei		121.5179227	24.98388397	
公車站牌	1000309	新和國小	安和路三段(向西)	Taipei		121.51725	24.985302	
公車站牌	1000310	新生南路一段	濟南路二段65號(向西)	Taipei		121.5319	25.040352	
公車站牌	1000311	濟南路二段	濟南路二段9號(向西)	Taipei		121.526771	25.041525	
公車站牌	1000313	中研新村	研究院路二段(向北)	Taipei		121.615639	25.045074	
公車站牌	1000314	南港高中	向陽路80號對面(向南)	Taipei		121.5949802	25.0530195	
公車站牌	1000316	捷運後山埤站(永吉)	永吉路565號(向西)	Taipei		121.581802015481	25.0453970100532	
公車站牌	1000319	南港高中	向陽路84號(向北)	Taipei		121.595233108141	25.0529513842885	
公車站牌	1000322	中和站	金城路三段(向北)	Taipei		121.4764569	24.99154157	
公車站牌	1000324	福和路	福和路229之2號(向東)	Taipei		121.5188667	25.00753245	
公車站牌	1000325	重慶南路三段(中正橋)	重慶南路三段117號(向北)	Taipei		121.516898839078	25.0242546637841	
公車站牌	1000326	民權復興路口	民權東路三段(向東)	Taipei		121.5438692	25.06227185	
公車站牌	1000328	農訓協會	中山北路7段125號(向南)	Taipei		121.53187	25.12262	
公車站牌	1000329	民權復興路口	民權東路三段(向西)	Taipei		121.5446524	25.06222037	
公車站牌	1000332	信義路	信義路(向北)	Taipei		121.512403	25.01391	
公車站牌	1000333	福和路	福和路(向西)	Taipei		121.5186354	25.00759386	
公車站牌	1000334	中和區公所(景平路)	景平路503號前(向西)	Taipei		121.499576	24.998816	
公車站牌	1000335	中和站	連城路631-1號(向北)	Taipei		121.4761866	24.99128799	
公車站牌	1000341	酒泉街	酒泉街112號(向東)	Taipei		121.5133789	25.07204184	
公車站牌	1000347	捷運芝山站一	文林路667號(向南)	Taipei		121.522307508871	25.1008497293525	
公車站牌	1000348	中正高中	文林北路114號(向北)	Taipei		121.517376	25.105815	
公車站牌	1000349	石牌	文林北路296號同向(向北)	Taipei		121.511778736417	25.1104478952371	
公車站牌	1000350	貴子坑水土保持園區	秀山路(向南)	Taipei		121.492633753399	25.1452633730156	
公車站牌	1000351	北投站	秀山路北投站停車場對面(向南)	Taipei		121.492071	25.144595	
公車站牌	1000364	忠孝路口	忠孝路一段(向東)	Taipei		121.4919747	25.07174969	
公車站牌	1000365	集美國小	集美街(向西)	Taipei		121.4881563	25.05566624	
公車站牌	1000367	瑞湖街口	民權東路六段11巷6號(向東)	Taipei		121.576485	25.067523	
公車站牌	1000372	三城	安康路三段423號(向北)	Taipei		121.483110453884	24.9497042902548	
公車站牌	1000374	建業路	安康路三段452號對面候車亭(向北)	Taipei		121.484465	24.95121	
公車站牌	1000375	二城	安康路三段275號(向東)	Taipei		121.4860328	24.95159154	
公車站牌	1000376	中央印製廠	安康路三段179號(向東)	Taipei		121.488385431569	24.951722671131	
公車站牌	1000379	頭城	安康路三段87號(向北)	Taipei		121.4915448	24.95177354	
公車站牌	1000380	大茅埔	安康路二段385、385-1號(向北)	Taipei		121.4946626	24.95431753	
公車站牌	1000381	康樂新村	安康路二段341巷口(向北)	Taipei		121.496712	24.955193	
公車站牌	1000383	啟聰學校	重慶北路三段320號(向南)	Taipei		121.5136892	25.07451003	
公車站牌	1000386	啟聰學校	重慶北路三段(向北)	Taipei		121.5140011	25.07486242	
公車站牌	1000388	捷運芝山站(文林)	北市文林路722號(向北)	Taipei		121.52067	25.1025	
公車站牌	1000389	大愛電視台	立德路(向南)	Taipei		121.471449	25.123677	
公車站牌	1000390	知行路口	大度路三段(向南)	Taipei		121.467197293932	25.1229405030539	
公車站牌	1000391	關渡路口	大度路三段118號對面(向東)	Taipei		121.46937105159	25.122650724291	
公車站牌	1000393	捷運民權西路站	民權西路公車專用道(向西)	Taipei		121.518977516403	25.062948670718	
公車站牌	1000394	蘆洲派出所	中山二路46號(向西)	Taipei		121.4735458	25.08207017	
公車站牌	1000396	捷運忠孝新生站	新生南路公車專用道(向南)	Taipei		121.532693	25.040288	
公車站牌	1000398	捷運民權西路站	民權西路公車專用道(向東)	Taipei		121.5178677888	25.0628480067	
公車站牌	1000399	寧波重慶路口	重慶南路三段(向北)	Taipei		121.5155658	25.02907366	
公車站牌	10004	中和國稅局	連城路146號(向南)	Taipei		121.4948985	24.99825646	
公車站牌	1000401	浪漫貴族	安康路二段180號對面(向北)	Taipei		121.511483	24.960016	
公車站牌	1000402	公崙新村(豐榮醫院)	安康路二段107巷口候車亭(向北)	Taipei		121.512637	24.962056	
公車站牌	1000403	安康派出所	安康路二段54號對面(向北)	Taipei		121.515268	24.963669	
公車站牌	1000404	仁愛街口	民族路347號(向東)	Taipei		121.472341	25.091851	
公車站牌	1000405	鷺江國小(民族路)	民族路10-12號之間對面(向西)	Taipei		121.475778	25.084108	
公車站牌	1000407	雅敘園	泉源路(向北)	Taipei		121.506324	25.14066656	
公車站牌	1000409	八勝園	泉源路49號對面(向東)	Taipei		121.511030827324	25.1411661449186	
公車站牌	1000410	大磺嘴	泉源路(向東)	Taipei		121.522414	25.142474	
公車站牌	1000411	水井尾	紗帽路21-2號對面(向南)	Taipei		121.5317021	25.14608838	
公車站牌	1000412	第二展望	臺北市北投區紗帽路(向南)	Taipei		121.5314682	25.14364173	
公車站牌	1000413	紗帽陽明路口	中橫路(向西)	Taipei		121.5487984	25.14914372	
公車站牌	1000414	頂半嶺	紗帽路(向南)	Taipei		121.539407	25.143901	
公車站牌	1000416	大埔(明玄宮)	紗帽路及紗帽路52~66號路口候車亭對面(向南)	Taipei		121.535389422228	25.1431282441305	
公車站牌	1000417	自來水公司	三民路二段239號前(向北)	Taipei		121.479068	25.0127	
公車站牌	1000418	長壽里	三民路二段133號(向北)	Taipei		121.479287	25.015381	
公車站牌	1000420	埔墘(三民路)	三民路(向南)	Taipei		121.47911	25.017161	
公車站牌	1000423	捷運蘆洲站	三民路505號(三民路與中正路交叉路口西側)(向東)	Taipei		121.463227	25.091505	
公車站牌	1000425	力行路	力行路一段239號對面(向東)	Taipei		121.482731	25.070499	
公車站牌	1000426	松隆路口	松隆路63號(向西)	Taipei		121.5694412	25.04505676	
公車站牌	1000431	歡仔園	僑中一街(向西)	Taipei		121.444872	25.011966	
公車站牌	1000432	民安路	富國路(向北)	Taipei		121.4251664	25.02403329	
公車站牌	1000433	捷運新莊站(新莊郵局)	中正路257號(向東)	Taipei		121.4499143	25.03552691	
公車站牌	1000434	西門國小(臺大醫院北護分院)	康定路102-106號前(向南)	Taipei		121.502156	25.041349	
公車站牌	1000435	臺北市憲兵隊	台北市延平南路與長沙街交叉口北側60公尺(向南)	Taipei		121.5091239	25.04072737	
公車站牌	1000436	貓纜動物園站	新光路二段(向南)	Taipei		121.576778	24.9968	
公車站牌	1000439	木柵	木柵路三段55-57號對向(向東)	Taipei		121.566555600343	24.988516909169	
公車站牌	1000441	忠順街口	興隆路四段159號(向北)	Taipei		121.561829231052	24.9843077885823	
公車站牌	1000443	馬明潭(再興中學)	興隆路四段59號(向北)	Taipei		121.559942504895	24.989363359859	
公車站牌	1000444	興隆山莊	興隆路三段333號(向北)	Taipei		121.55919	24.990768	
公車站牌	1000445	捷運辛亥站	辛亥路四段162號對面(向北)	Taipei		121.556531813076	25.0037396380103	
公車站牌	1000446	辛亥國小	辛亥路四段91號(向北)	Taipei		121.55871833409	25.0070201506128	
公車站牌	1000447	大安健康服務中心	復興南路二段(向北)	Taipei		121.5434997	25.02208456	
公車站牌	1000448	國立臺北教育大學	復興南路二段(向南)	Taipei		121.5432253	25.02438314	
公車站牌	1000449	大安健康服務中心	復興南路二段332號(向南)	Taipei		121.543212145552	25.0228925562998	
公車站牌	1000451	捷運辛亥站一	辛亥路四段130號巷口(向南)	Taipei		121.55586888955	25.003074756861	
